iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.029476337134838104
1000,-1.0,2.0,8,0.023124035447835922
1500,-1.0,2.0,8,0.00961048062890768
2000,-1.0,2.0,8,0.007737219333648682
2500,-1.0,2.0,8,0.012833420187234879
3000,-0.44,2.0,9,0.006559448316693306
3500,-0.88,2.12,8,0.0042902519926428795
4000,-0.12,2.25,8,0.0038080913946032524
4500,-0.5,2.0,10,0.004973267205059528
5000,-0.5,2.0,10,0.005669755861163139
5500,-0.33,2.11,9,0.00951797142624855
6000,0.0,2.0,8,0.004876008722931147
6500,-0.3,2.2,10,0.005118838511407375
7000,0.0,2.0,8,0.004595235921442509
7500,-0.25,2.0,8,0.00948676560074091
8000,-0.38,2.0,8,0.004596542101353407
8500,-0.22,2.0,9,0.0018722180975601077
9000,-0.25,2.0,8,0.0035272245295345783
9500,0.0,2.0,8,0.0015353448688983917
10000,-0.12,2.0,8,0.0019050926202908158
10500,0.0,2.12,8,0.007651026826351881
11000,-0.12,2.0,8,0.0032817749306559563
11500,0.12,2.12,8,0.00358178885653615
12000,0.12,2.12,8,0.0006310963071882725
12500,-0.22,2.0,9,0.0020920413080602884
13000,0.0,2.0,8,0.003915874287486076
13500,0.25,2.25,8,0.006761574186384678
14000,0.0,2.0,8,0.0005528601468540728
14500,0.5,2.5,8,0.0019001758191734552
15000,0.0,2.0,8,0.0013611158356070518
15500,0.0,2.12,8,0.0036800617817789316
16000,0.0,2.0,8,0.0018051981460303068
16500,0.38,2.38,8,0.001913504209369421
17000,0.25,2.5,8,0.0035026399418711662
17500,0.5,2.62,8,0.005633605644106865
18000,0.0,2.12,8,0.0024112574756145477
18500,0.38,2.5,8,0.005069471895694733
19000,0.78,3.11,9,0.0018131666583940387
19500,0.25,2.25,8,0.007227879948914051
20000,1.25,3.62,8,0.005575149320065975
20500,0.62,2.75,8,0.004923337139189243
21000,0.88,3.12,8,0.002028319053351879
21500,0.5,2.5,8,0.0038432511501014233
22000,0.12,2.38,8,0.0021245393436402082
22500,1.0,3.33,9,0.005596371367573738
23000,1.12,3.38,8,0.005974550731480122
23500,1.55,4.18,11,0.0016699490370228887
24000,0.5,2.62,8,0.004466055892407894
24500,0.1,2.5,10,0.011692240834236145
25000,0.25,2.62,8,0.012191154062747955
25500,1.38,3.5,8,0.004093298688530922
26000,1.5,3.9,10,0.014352159574627876
26500,1.4,3.8,10,0.009477264247834682
27000,1.6,4.2,10,0.011478064581751823
27500,1.25,3.5,8,0.0055120703764259815
28000,1.67,4.11,9,0.003659042064100504
28500,2.25,5.25,8,0.007098468951880932
29000,2.62,5.62,8,0.0060655586421489716
29500,3.25,6.25,8,0.004647664725780487
30000,3.62,6.62,8,0.021452181041240692
30500,4.38,7.38,8,0.009014187380671501
31000,2.75,5.75,8,0.004032016731798649
31500,3.25,6.25,8,0.018555108457803726
32000,6.38,9.38,8,0.007670100312680006
32500,4.38,7.38,8,0.011180952191352844
33000,4.0,7.0,8,0.011584782972931862
33500,5.75,8.75,8,0.013525975868105888
34000,6.38,9.38,8,0.016667664051055908
34500,8.0,11.0,8,0.012287008576095104
35000,4.25,7.25,8,0.011461894027888775
35500,6.88,9.88,8,0.0154957240447402
36000,6.5,9.5,8,0.007919997908174992
36500,5.62,8.62,8,0.005548395216464996
37000,10.5,13.5,8,0.005436898209154606
37500,6.12,9.12,8,0.017782557755708694
38000,7.62,10.62,8,0.014240027405321598
38500,5.5,8.5,8,0.03282710909843445
39000,5.62,8.62,8,0.01887558214366436
39500,4.5,7.5,8,0.008356766775250435
40000,7.5,10.5,8,0.009294133633375168
40500,7.0,10.0,8,0.006267189979553223
41000,11.62,14.62,8,0.04885413125157356
41500,13.5,16.5,8,0.01851644739508629
42000,9.62,12.62,8,0.007222138810902834
42500,11.12,14.12,8,0.010114932432770729
43000,6.0,9.0,8,0.006880046799778938
